n_packets,FlowID,SourceAddress,DestinationAddress,TxBytes,RxBytes,TxPackets,RxPackets,start time, stop time, duration, Throughput_Mbps,OfferedLoad_Mbps
30,2,10.1.1.3,10.1.1.1,3124440,3124440,2970,2970,1.052230,99.987184,98.934954,0.252646,0.491520
30,3,10.1.1.2,10.1.1.3,48,48,1,1,1.024336,1.024336,0.000000,inf,0.491520
30,4,10.1.1.2,10.1.1.1,48,48,1,1,1.017073,1.017073,0.000000,inf,0.491520
30,5,10.1.1.3,10.1.1.2,30,30,1,1,1.032475,1.032475,0.000000,inf,0.491520
31,1,10.1.1.2,10.1.1.1,3228588,3228588,3069,3069,1.007373,99.972856,98.965483,0.260987,0.507904
31,2,10.1.1.3,10.1.1.1,3228588,3228588,3069,3069,1.049239,99.988260,98.939021,0.261057,0.507904
31,3,10.1.1.2,10.1.1.3,48,48,1,1,1.022285,1.022285,0.000000,inf,0.507904
31,4,10.1.1.2,10.1.1.1,48,48,1,1,1.017061,1.017061,0.000000,inf,0.507904
31,5,10.1.1.3,10.1.1.2,30,30,1,1,1.029343,1.029343,0.000000,inf,0.507904
32,1,10.1.1.2,10.1.1.1,3332736,3332736,3168,3168,1.016462,99.973851,98.957389,0.269428,0.524288
32,2,10.1.1.3,10.1.1.1,3332736,3332736,3168,3168,1.065620,99.989275,98.923655,0.269520,0.524288
32,3,10.1.1.2,10.1.1.3,48,48,1,1,1.039317,1.039317,0.000000,inf,0.524288
32,4,10.1.1.2,10.1.1.1,48,48,1,1,1.021071,1.021071,0.000000,inf,0.524288
32,5,10.1.1.3,10.1.1.2,30,30,1,1,1.054495,1.054495,0.000000,inf,0.524288
33,1,10.1.1.2,10.1.1.1,3437936,3437936,3268,3268,1.013441,100.005098,98.991657,0.277836,0.540672
33,2,10.1.1.3,10.1.1.1,3436884,3436884,3267,3267,1.046438,99.990216,98.943778,0.277886,0.540672
33,3,10.1.1.2,10.1.1.3,48,48,1,1,1.023133,1.023133,0.000000,inf,0.540672
33,4,10.1.1.2,10.1.1.1,48,48,1,1,1.017070,1.017070,0.000000,inf,0.540672
33,5,10.1.1.3,10.1.1.2,30,30,1,1,1.029852,1.029852,0.000000,inf,0.540672
34,1,10.1.1.2,10.1.1.1,3541032,3541032,3366,3366,1.016213,99.975685,98.959472,0.286261,0.557056
34,2,10.1.1.3,10.1.1.1,3541032,3541032,3366,3366,1.052411,99.991109,98.938698,0.286321,0.557056
34,3,10.1.1.2,10.1.1.3,48,48,1,1,1.029085,1.029085,0.000000,inf,0.557056
34,4,10.1.1.2,10.1.1.1,48,48,1,1,1.018861,1.018861,0.000000,inf,0.557056
34,5,10.1.1.3,10.1.1.2,30,30,1,1,1.041486,1.041486,0.000000,inf,0.557056
35,1,10.1.1.2,10.1.1.1,3645180,3645180,3465,3465,1.020221,99.976541,98.956320,0.294690,0.573440
35,2,10.1.1.3,10.1.1.1,3645180,3645180,3465,3465,1.051250,99.991965,98.940715,0.294737,0.573440
35,3,10.1.1.2,10.1.1.3,48,48,1,1,1.025571,1.025571,0.000000,inf,0.573440
35,4,10.1.1.2,10.1.1.1,48,48,1,1,1.021807,1.021807,0.000000,inf,0.573440
35,5,10.1.1.3,10.1.1.2,30,30,1,1,1.040285,1.040285,0.000000,inf,0.573440
36,1,10.1.1.2,10.1.1.1,3749328,3749328,3564,3564,1.016262,99.977325,98.961063,0.303095,0.589824
36,2,10.1.1.3,10.1.1.1,3749328,3749328,3564,3564,1.058801,99.992749,98.933949,0.303178,0.589824
36,3,10.1.1.2,10.1.1.3,48,48,1,1,1.025974,1.025974,0.000000,inf,0.589824
36,4,10.1.1.2,10.1.1.1,48,48,1,1,1.018791,1.018791,0.000000,inf,0.589824
36,5,10.1.1.3,10.1.1.2,30,30,1,1,1.037955,1.037955,0.000000,inf,0.589824
37,1,10.1.1.2,10.1.1.1,3854528,3854528,3664,3664,1.015221,100.005112,98.989891,0.311509,0.606208
37,2,10.1.1.3,10.1.1.1,3853476,3815604,3663,3627,2.049908,99.993489,97.943581,0.311657,0.606208
37,3,10.1.1.2,10.1.1.3,48,48,1,1,1.027153,1.027153,0.000000,inf,0.606208
37,4,10.1.1.2,10.1.1.1,48,48,1,1,1.017910,1.017910,0.000000,inf,0.606208
37,5,10.1.1.3,10.1.1.2,30,30,1,1,2.038963,2.038963,0.000000,inf,0.606208
38,1,10.1.1.2,10.1.1.1,3958676,3958676,3763,3763,1.013241,100.005107,98.991865,0.319919,0.622592
38,2,10.1.1.3,10.1.1.1,3957624,3918700,3762,3725,2.060874,99.994204,97.933330,0.320112,0.622592
38,3,10.1.1.2,10.1.1.3,48,48,1,1,1.023213,1.023213,0.000000,inf,0.622592
38,4,10.1.1.2,10.1.1.1,48,48,1,1,1.019070,1.019070,0.000000,inf,0.622592
38,5,10.1.1.3,10.1.1.2,30,30,1,1,2.029543,2.029543,0.000000,inf,0.622592
39,1,10.1.1.2,10.1.1.1,4061772,4061772,3861,3861,1.007273,99.979469,98.972196,0.328316,0.638976
39,2,10.1.1.3,10.1.1.1,4061772,4061772,3861,3861,1.050411,99.994893,98.944482,0.328408,0.638976
39,3,10.1.1.2,10.1.1.3,192,192,4,4,1.032667,69.072476,68.039809,0.000023,0.638976
39,4,10.1.1.2,10.1.1.1,144,144,3,3,1.019071,69.048180,68.029108,0.000017,0.638976
39,5,10.1.1.3,10.1.1.2,90,90,3,3,1.039386,69.073930,68.034544,0.000011,0.638976
40,1,10.1.1.2,10.1.1.1,4165920,4165920,3960,3960,1.008241,99.980109,98.971867,0.336736,0.655360
40,2,10.1.1.3,10.1.1.1,4165920,4165920,3960,3960,1.047839,99.995533,98.947693,0.336818,0.655360
40,3,10.1.1.2,10.1.1.3,48,48,1,1,1.023413,1.023413,0.000000,inf,0.655360
40,4,10.1.1.2,10.1.1.1,48,48,1,1,1.016070,1.016070,0.000000,inf,0.655360
40,5,10.1.1.3,10.1.1.2,30,30,1,1,1.036975,1.036975,0.000000,inf,0.655360
41,1,10.1.1.2,10.1.1.1,4270068,4270068,4059,4059,1.011322,99.980710,98.969388,0.345163,0.671744
41,2,10.1.1.3,10.1.1.1,4270068,4270068,4059,4059,1.072305,99.996134,98.923829,0.345322,0.671744
41,3,10.1.1.2,10.1.1.3,48,48,1,1,1.033357,1.033357,0.000000,inf,0.671744
41,4,10.1.1.2,10.1.1.1,48,48,1,1,1.022071,1.022071,0.000000,inf,0.671744
41,5,10.1.1.3,10.1.1.2,30,30,1,1,1.046555,1.046555,0.000000,inf,0.671744
42,1,10.1.1.2,10.1.1.1,4374216,4374216,4158,4158,1.014473,99.981301,98.966828,0.353590,0.688128
42,2,10.1.1.3,10.1.1.1,4374216,4374216,4158,4158,1.048391,99.996725,98.948334,0.353657,0.688128
42,3,10.1.1.2,10.1.1.3,48,48,1,1,1.024945,1.024945,0.000000,inf,0.688128
42,4,10.1.1.2,10.1.1.1,48,48,1,1,1.021061,1.021061,0.000000,inf,0.688128
42,5,10.1.1.3,10.1.1.2,30,30,1,1,1.037386,1.037386,0.000000,inf,0.688128
43,1,10.1.1.2,10.1.1.1,4478364,4478364,4257,4257,1.010502,99.981850,98.971348,0.361993,0.704512
43,2,10.1.1.3,10.1.1.1,4478364,4478364,4257,4257,1.076166,99.997274,98.921108,0.362177,0.704512
43,3,10.1.1.2,10.1.1.3,48,48,1,1,1.031057,1.031057,0.000000,inf,0.704512
43,4,10.1.1.2,10.1.1.1,48,48,1,1,1.015071,1.015071,0.000000,inf,0.704512
43,5,10.1.1.3,10.1.1.2,30,30,1,1,1.044495,1.044495,0.000000,inf,0.704512
44,1,10.1.1.2,10.1.1.1,4582512,4582512,4356,4356,1.011373,99.982386,98.971013,0.370412,0.720896
44,2,10.1.1.3,10.1.1.1,4582512,4582512,4356,4356,1.045531,99.997790,98.952259,0.370483,0.720896
44,3,10.1.1.2,10.1.1.3,48,48,1,1,1.019945,1.019945,0.000000,inf,0.720896
44,4,10.1.1.2,10.1.1.1,48,48,1,1,1.016061,1.016061,0.000000,inf,0.720896
44,5,10.1.1.3,10.1.1.2,30,30,1,1,1.034386,1.034386,0.000000,inf,0.720896
45,1,10.1.1.2,10.1.1.1,4687712,4687712,4456,4456,1.016213,100.005104,98.988891,0.378848,0.737280
45,2,10.1.1.3,10.1.1.1,4686660,4686660,4455,4455,1.046391,99.998301,98.951910,0.378904,0.737280
45,3,10.1.1.2,10.1.1.3,48,48,1,1,1.023125,1.023125,0.000000,inf,0.737280
45,4,10.1.1.2,10.1.1.1,48,48,1,1,1.018821,1.018821,0.000000,inf,0.737280
45,5,10.1.1.3,10.1.1.2,30,30,1,1,1.035406,1.035406,0.000000,inf,0.737280
46,1,10.1.1.2,10.1.1.1,4791860,4791860,4555,4555,1.012293,100.005105,98.992812,0.387249,0.753664
46,2,10.1.1.3,10.1.1.1,4790808,4790808,4554,4554,1.072285,99.998782,98.926497,0.387424,0.753664
46,3,10.1.1.2,10.1.1.3,48,48,1,1,1.031567,1.031567,0.000000,inf,0.753664
46,4,10.1.1.2,10.1.1.1,48,48,1,1,1.022061,1.022061,0.000000,inf,0.753664
46,5,10.1.1.3,10.1.1.2,30,30,1,1,1.041786,1.041786,0.000000,inf,0.753664
47,1,10.1.1.2,10.1.1.1,4894956,4894956,4653,4653,1.014253,99.983838,98.969586,0.395674,0.770048
47,2,10.1.1.3,10.1.1.1,4894956,4894956,4653,4653,1.056041,99.999242,98.943201,0.395779,0.770048
47,3,10.1.1.2,10.1.1.3,48,48,1,1,1.030187,1.030187,0.000000,inf,0.770048
47,4,10.1.1.2,10.1.1.1,48,48,1,1,1.016801,1.016801,0.000000,inf,0.770048
47,5,10.1.1.3,10.1.1.2,30,30,1,1,1.036566,1.036566,0.000000,inf,0.770048
48,1,10.1.1.2,10.1.1.1,5000156,5000156,4753,4753,1.010501,100.005167,98.994665,0.404075,0.786432
48,2,10.1.1.3,10.1.1.1,4999104,4999104,4752,4752,1.046147,99.999684,98.953537,0.404158,0.786432
48,3,10.1.1.2,10.1.1.3,48,48,1,1,1.017113,1.017113,0.000000,inf,0.786432
48,4,10.1.1.2,10.1.1.1,48,48,1,1,1.013070,1.013070,0.000000,inf,0.786432
48,5,10.1.1.3,10.1.1.2,30,30,1,1,1.032635,1.032635,0.000000,inf,0.786432
49,1,10.1.1.2,10.1.1.1,5104304,5104304,4852,4852,1.010301,100.005612,98.995311,0.412489,0.802816
49,2,10.1.1.3,10.1.1.1,5103252,5103252,4851,4851,1.041699,100.000110,98.958410,0.412557,0.802816
49,3,10.1.1.2,10.1.1.3,48,48,1,1,1.017073,1.017073,0.000000,inf,0.802816
49,4,10.1.1.2,10.1.1.1,48,48,1,1,1.013070,1.013070,0.000000,inf,0.802816
49,5,10.1.1.3,10.1.1.2,30,30,1,1,1.030655,1.030655,0.000000,inf,0.802816
50,1,10.1.1.2,10.1.1.1,5207400,5207400,4950,4950,1.013273,99.986130,98.972857,0.420915,0.819200
50,2,10.1.1.3,10.1.1.1,5207400,5207400,4950,4950,1.052251,100.000534,98.948283,0.421020,0.819200
50,3,10.1.1.2,10.1.1.3,192,192,4,4,1.019705,93.094263,92.074559,0.000017,0.819200
50,4,10.1.1.2,10.1.1.1,192,192,4,4,1.015921,93.095750,92.079829,0.000017,0.819200
50,5,10.1.1.3,10.1.1.2,120,120,4,4,1.032916,93.097404,92.064488,0.000010,0.819200
51,1,10.1.1.2,10.1.1.1,5312600,5312600,5050,5050,1.014273,100.006582,98.992310,0.429334,0.835584
51,2,10.1.1.3,10.1.1.1,5311548,5311548,5049,5049,1.063851,100.000920,98.937068,0.429489,0.835584
